design_object_count,layout_count,composition
13,11,"Group:[types=['Group', 'VStack'], roles=['Subtitle', 'Title']]"
13,6,"Group:[types=['SVG', 'Text'], roles=['Background', 'Highlight', 'Marker']]"
13,9,"Group:[types=['Text', 'VStack'], roles=['Description', 'Highlight', 'Title']]"
13,2,"Group:[types=['Group', 'HStack', 'SVG'], roles=['Decoration', 'Highlight', 'Title']]"
13,5,"Group:[types=['Group', 'Text'], roles=['Decoration', 'Description', 'Highlight', 'Subtitle', 'Title']]"
13,7,"Group:[types=['HStack', 'SVG', 'Text'], roles=['Decoration', 'Description', 'Highlight']]"
13,10,"Group:[types=['Group', 'HStack', 'SVG'], roles=['Background', 'Decoration', 'Description', 'Separator']]"
13,4,"Group:[types=['VStack'], roles=['Description', 'Marker']]"
13,2,"Group:[types=['HStack', 'SVG'], roles=['Decoration', 'Marker']]"
13,10,"Group:[types=['Group', 'Text', 'VStack'], roles=['Description', 'Subtitle', 'Title']]"
13,7,"Group:[types=['Group', 'Text'], roles=['Decoration', 'Description', 'Subtitle', 'Title']]"
13,12,"Group:[types=['Group', 'Image', 'Text'], roles=['Decoration', 'Subtitle', 'Title']]"
13,5,"Group:[types=['Image', 'SVG', 'Text'], roles=['Decoration', 'Marker', 'Title']]"
13,10,"Group:[types=['Group', 'HStack'], roles=['Background', 'Decoration']]"
13,8,"Group:[types=['Group', 'VStack'], roles=['Decoration', 'Description', 'Separator']]"
13,6,"Group:[types=['Group', 'SVG', 'Text'], roles=['Decoration', 'Highlight', 'Separator', 'Title']]"
13,7,"Group:[types=['SVG', 'VStack', 'Video'], roles=['Background', 'Decoration', 'Description']]"
13,4,"Group:[types=['Frame', 'Text'], roles=['Decoration', 'Description']]"
13,8,"Group:[types=['Group', 'Image', 'SVG'], roles=['Background', 'Description']]"
13,5,"Group:[types=['Group', 'SVG', 'Table'], roles=['Decoration', 'Description']]"
13,6,"Group:[types=['SVG'], roles=['Marker', 'Separator']]"
13,2,"Group:[types=['SVG', 'Text', 'VStack'], roles=['Description', 'Marker', 'Separator', 'Title']]"
13,5,"Group:[types=['HStack', 'SVG', 'Text'], roles=['Decoration', 'Separator', 'Title']]"
12,3,"ZStack:[types=['SVG', 'VStack'], roles=['Decoration', 'Description']]"
12,2,"ZStack:[types=['VStack', 'ZStack'], roles=['Decoration', 'Description']]"
12,2,"Group:[types=['Chart', 'Text', 'VStack'], roles=['Description', 'Highlight']]"
12,1,"ZStack:[types=['SVG', 'ZStack'], roles=['Decoration']]"
12,9,"Group:[types=['Group', 'HStack', 'Text', 'VStack'], roles=['Description', 'Highlight', 'Title']]"
12,4,"Group:[types=['Image', 'SVG', 'Text'], roles=['Decoration', 'Description', 'Separator', 'Title']]"
12,8,"Group:[types=['SVG', 'Text'], roles=['Background', 'Highlight', 'Subtitle', 'Title']]"
12,4,"Group:[types=['Chart', 'Group', 'SVG'], roles=['Background', 'Decoration', 'Description', 'Title']]"
12,6,"Group:[types=['Image'], roles=['Highlight']]"
12,9,"Group:[types=['Group', 'Image', 'SVG'], roles=['Decoration', 'Title']]"
12,7,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Highlight', 'Marker']]"
12,6,"Group:[types=['HStack', 'SVG', 'Text'], roles=['Decoration', 'Description', 'Separator']]"
12,11,"Group:[types=['Group', 'HStack'], roles=['Background', 'Decoration', 'Description', 'Title']]"
12,8,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Highlight', 'Separator']]"
12,5,"Group:[types=['Group', 'HStack'], roles=['Highlight']]"
12,9,"Group:[types=['Group', 'Image'], roles=['Decoration', 'Highlight', 'Title']]"
12,8,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Marker', 'Separator']]"
12,6,"Group:[types=['Chart', 'Group', 'VStack'], roles=['Description']]"
12,8,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Marker', 'Separator', 'Title']]"
12,11,"Group:[types=['Group', 'LayeredDiagram'], roles=['Decoration', 'Highlight']]"
12,8,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Separator', 'Subtitle', 'Title']]"
12,5,"Group:[types=['Group', 'SVG', 'Text', 'VStack'], roles=['Background', 'Description', 'Marker', 'Title']]"
12,8,"Group:[types=['Group', 'HStack', 'SVG'], roles=['Background', 'Decoration']]"
12,9,"Group:[types=['Group', 'Image'], roles=['Decoration', 'Description', 'Highlight']]"
12,9,"Group:[types=['Group', 'SVG'], roles=['Background', 'Highlight', 'Separator']]"
12,2,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Description', 'Highlight', 'Subtitle', 'Title']]"
12,3,"Group:[types=['Group', 'LayeredDiagram', 'VStack'], roles=['Decoration', 'Description', 'Highlight']]"
12,5,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Highlight', 'Marker', 'Title']]"
12,8,"Group:[types=['Group'], roles=['Separator', 'Title']]"
12,9,"Group:[types=['Text'], roles=['Description', 'Marker', 'Subtitle', 'Title']]"
12,8,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Background', 'Decoration', 'Highlight']]"
12,8,"Group:[types=['Group', 'VStack'], roles=['Description', 'Subtitle', 'Title']]"
12,5,"Group:[types=['SVG', 'VStack'], roles=['Highlight', 'Separator']]"
12,9,"Group:[types=['Group', 'SVG'], roles=['Decoration', 'Separator', 'Title']]"
12,2,"Group:[types=['Group', 'Image', 'SVG'], roles=['Decoration', 'Marker']]"
12,8,"Group:[types=['Chart', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Title']]"
12,4,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Decoration']]"
12,5,"Group:[types=['Group', 'SVG'], roles=['Background', 'Marker']]"
12,4,"Group:[types=['Group', 'Image', 'VStack'], roles=['Description', 'Title']]"
12,8,"Group:[types=['SVG', 'Text', 'Video'], roles=['Background', 'Decoration', 'Highlight']]"
12,4,"Group:[types=['SVG', 'Text', 'Video'], roles=['Background', 'Decoration', 'Title']]"
12,8,"Group:[types=['Group', 'SVG'], roles=['Background', 'Decoration', 'Description', 'Separator']]"
12,10,"Group:[types=['Image'], roles=['Separator']]"
12,8,"Group:[types=['Group'], roles=['Decoration', 'Subtitle']]"
12,4,"Group:[types=['Group', 'SVG', 'Text', 'VStack'], roles=['Decoration', 'Description', 'Separator', 'Title']]"
12,9,"Group:[types=['Chart', 'Image', 'SVG'], roles=['Background', 'Decoration', 'Description']]"
12,4,"Group:[types=['SVG', 'VStack'], roles=['Marker', 'Separator']]"
12,8,"Group:[types=['Group', 'SVG', 'Text'], roles=['Decoration', 'Highlight', 'Subtitle', 'Title']]"
12,6,"Group:[types=['SVG', 'Text', 'VStack'], roles=['Decoration', 'Description', 'Separator', 'Title']]"
12,4,"Group:[types=['Frame', 'Group'], roles=['Background', 'Description']]"
11,5,"Group:[types=['LayeredDiagram', 'Text'], roles=['Decoration', 'Description', 'Highlight']]"
11,7,"Group:[types=['Group', 'HStack'], roles=['Decoration', 'Description', 'Highlight', 'Title']]"
11,6,"Group:[types=['Group', 'LayeredDiagram'], roles=['Background', 'Description']]"
11,9,"Group:[types=['Group', 'Image', 'VStack'], roles=['Background', 'Description', 'Title']]"
11,6,"Group:[types=['Group', 'HStack', 'SVG', 'Text'], roles=['Decoration', 'Description', 'Title']]"
11,10,"Group:[types=['SVG', 'Text'], roles=['Background', 'Description', 'Highlight', 'Subtitle', 'Title']]"
11,6,"Group:[types=['Group', 'Image', 'Text'], roles=['Decoration', 'Description', 'Highlight', 'Title']]"
11,9,"Group:[types=['Frame'], roles=['Description']]"
11,5,"Group:[types=['Chart', 'Group'], roles=['Background', 'Description']]"
11,3,"Group:[types=['Chart', 'Group', 'SVG', 'Text'], roles=['Description', 'Separator', 'Title']]"
11,8,"Group:[types=['Group', 'Image', 'Text'], roles=['Decoration', 'Title']]"
11,5,"Group:[types=['SVG'], roles=[]]"
11,4,"Group:[types=['SVG', 'Text'], roles=[]]"
11,7,"Group:[types=['Image', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Marker', 'Title']]"
11,4,"Group:[types=['LayeredDiagram', 'SVG'], roles=['Decoration']]"
11,8,"Group:[types=['Group', 'Image', 'SVG'], roles=['Background', 'Decoration', 'Highlight']]"
11,4,"Group:[types=['LayeredDiagram', 'SVG', 'Text'], roles=['Decoration', 'Highlight']]"
11,8,"Group:[types=['HStack', 'SVG', 'VStack'], roles=['Background', 'Decoration', 'Title']]"
11,10,"Group:[types=['Group', 'SVG'], roles=['Decoration', 'Subtitle', 'Title']]"
11,5,"Group:[types=['Chart', 'Image', 'Text'], roles=['Decoration', 'Description', 'Highlight', 'Title']]"
11,4,"Group:[types=['Group', 'SVG', 'Text'], roles=['Marker', 'Separator', 'Title']]"
11,6,"Group:[types=['Image', 'SVG'], roles=['Background', 'Decoration', 'Highlight']]"
11,4,"Group:[types=['Text', 'VennDiagram'], roles=['Description', 'Title']]"
11,6,"Group:[types=['Chart', 'Text'], roles=['Decoration', 'Description', 'Highlight']]"
11,3,"Group:[types=['Group', 'HStack', 'Table'], roles=['Decoration', 'Description']]"
11,4,"Group:[types=['Group', 'Image', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Marker', 'Title']]"
11,4,"Group:[types=['HStack', 'SVG', 'VStack'], roles=['Decoration', 'Description', 'Separator']]"
11,10,"Group:[types=['Group'], roles=['Background', 'Decoration', 'Description', 'Title']]"
11,9,"Group:[types=['Group', 'Video'], roles=['Decoration', 'Highlight']]"
11,10,"Group:[types=['Group', 'HStack', 'Image'], roles=['Background', 'Decoration', 'Description']]"
11,4,"Group:[types=['Chart', 'Group', 'Text'], roles=['Decoration', 'Description', 'Highlight']]"
11,7,"Group:[types=['SVG', 'Text'], roles=['Background', 'Highlight', 'Marker', 'Title']]"
11,6,"Group:[types=['Group', 'SVG', 'Text'], roles=['Decoration', 'Separator', 'Title']]"
11,8,"Group:[types=['Video'], roles=['Decoration']]"
11,5,"Group:[types=['Image', 'Text', 'VStack'], roles=['Decoration', 'Description']]"
11,6,"Group:[types=['Image', 'Text'], roles=['Background', 'Highlight']]"
11,4,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Separator']]"
10,6,"Group:[types=['HStack', 'Text'], roles=['Highlight', 'Subtitle', 'Title']]"
10,2,"ZStack:[types=['VStack', 'ZStack'], roles=['Background', 'Description']]"
10,3,"ZStack:[types=['Chart', 'SVG', 'Text'], roles=['Decoration', 'Description']]"
10,2,"ZStack:[types=['SVG'], roles=['Background']]"
10,3,"ZStack:[types=['Image'], roles=['Decoration']]"
10,3,"Group:[types=['VStack', 'ZStack'], roles=['Decoration', 'Description']]"
10,1,"Group:[types=['SVG', 'ZStack'], roles=['Decoration']]"
10,5,"Group:[types=['Chart', 'Image', 'Text'], roles=['Decoration', 'Description', 'Highlight']]"
10,5,"Group:[types=['Group', 'Text', 'VStack'], roles=['Background', 'Description', 'Marker']]"
10,5,"Group:[types=['Group', 'SVG'], roles=['Decoration', 'Highlight', 'Separator']]"
10,7,"Group:[types=['Frame', 'Group'], roles=['Description']]"
10,8,"Group:[types=['Image', 'SVG', 'Text'], roles=['Background', 'Decoration']]"
10,7,"Group:[types=['Group', 'SVG'], roles=['Background', 'Decoration', 'Highlight', 'Title']]"
10,5,"Group:[types=['Group', 'VennDiagram'], roles=['Description', 'Highlight']]"
10,3,"Group:[types=['Chart', 'HStack', 'Text'], roles=['Description']]"
10,8,"Group:[types=['Group'], roles=['Background', 'Decoration', 'Highlight']]"
10,5,"Group:[types=['Group', 'SVG', 'Text', 'VStack'], roles=['Background', 'Decoration', 'Description', 'Marker']]"
10,10,"Group:[types=['Image', 'SVG'], roles=['Background', 'Decoration', 'Separator']]"
10,7,"Group:[types=['Group', 'SVG', 'Table'], roles=['Background', 'Decoration', 'Description']]"
10,4,"Group:[types=['Frame', 'SVG'], roles=['Background', 'Decoration']]"
10,8,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Background', 'Decoration']]"
10,6,"Group:[types=['Group', 'SVG', 'Text'], roles=['Description', 'Separator', 'Subtitle', 'Title']]"
10,6,"Group:[types=['Chart', 'SVG', 'VStack'], roles=['Background', 'Description', 'Title']]"
10,5,"Group:[types=['Chart', 'Group', 'SVG', 'VStack'], roles=['Background', 'Description', 'Title']]"
10,6,"Group:[types=['Group', 'SVG'], roles=['Background', 'Description', 'Separator', 'Title']]"
10,7,"Group:[types=['Group', 'HStack', 'SVG', 'Text'], roles=['Background', 'Description', 'Highlight', 'Title']]"
10,5,"Group:[types=['Chart', 'Group', 'SVG'], roles=['Description', 'Separator']]"
10,7,"Group:[types=['SVG', 'VStack'], roles=['Background', 'Title']]"
10,6,"Group:[types=['Image', 'Text'], roles=['Background', 'Description', 'Highlight']]"
10,4,"Group:[types=['Group', 'SVG', 'Text'], roles=['Decoration', 'Description', 'Marker', 'Separator']]"
10,7,"Group:[types=['VStack', 'VennDiagram'], roles=['Description']]"
10,9,"Group:[types=['Group', 'SVG'], roles=['Background', 'Title']]"
10,9,"Group:[types=['Group', 'SVG'], roles=['Separator']]"
10,8,"Group:[types=['Image', 'Text'], roles=['Decoration', 'Description', 'Subtitle', 'Title']]"
10,9,"Group:[types=['SVG', 'Text'], roles=['Background', 'Marker', 'Subtitle', 'Title']]"
10,6,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Subtitle']]"
10,8,"Group:[types=['HStack', 'Image', 'SVG'], roles=['Background', 'Decoration', 'Description', 'Separator']]"
10,4,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Description', 'Separator', 'Subtitle', 'Title']]"
10,4,"Group:[types=['Image', 'Text', 'VStack'], roles=['Background', 'Decoration', 'Description', 'Title']]"
10,5,"Group:[types=['HStack', 'SVG', 'Text'], roles=['Description', 'Highlight', 'Separator', 'Title']]"
10,4,"Group:[types=['Chart', 'Image', 'SVG'], roles=['Decoration', 'Description']]"
10,5,"Group:[types=['HStack', 'SVG'], roles=['Background', 'Description', 'Separator', 'Title']]"
10,6,"Group:[types=['SVG'], roles=['Background', 'Decoration', 'Marker']]"
10,7,"Group:[types=['Group', 'SVG'], roles=['Background', 'Separator', 'Title']]"
10,6,"Group:[types=['HStack'], roles=['Decoration', 'Title']]"
10,7,"Group:[types=['Group', 'HStack', 'SVG'], roles=['Background', 'Description', 'Highlight', 'Separator']]"
10,4,"Group:[types=['Group', 'Image'], roles=['Description', 'Marker']]"
10,3,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Decoration', 'Description', 'Marker', 'Separator']]"
10,3,"Group:[types=['Group', 'HStack', 'SVG', 'Text'], roles=['Description', 'Highlight', 'Separator', 'Title']]"
10,8,"Group:[types=['Group', 'HStack', 'SVG'], roles=['Decoration', 'Title']]"
10,5,"Group:[types=['Group', 'Text'], roles=['Background', 'Description', 'Marker']]"
10,4,"Group:[types=['HStack', 'SVG', 'Text'], roles=['Background', 'Description', 'Separator']]"
10,4,"Group:[types=['Frame', 'SVG'], roles=['Decoration']]"
9,2,"Group:[types=['Text', 'VStack'], roles=['Title']]"
9,2,"Group:[types=['HStack', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Highlight']]"
9,3,"Group:[types=['HStack', 'Image', 'SVG'], roles=['Background', 'Description']]"
9,5,"Group:[types=['Chart', 'Group', 'SVG'], roles=['Background', 'Decoration', 'Description']]"
9,7,"Group:[types=['Group', 'VStack'], roles=['Description', 'Highlight', 'Separator']]"
9,8,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Description', 'Subtitle', 'Title']]"
9,4,"Group:[types=['Chart', 'Image', 'Text'], roles=['Decoration', 'Description', 'Title']]"
9,6,"Group:[types=['HStack', 'SVG'], roles=['Marker', 'Separator']]"
9,4,"Group:[types=['Chart', 'Image', 'Text'], roles=['Decoration', 'Description']]"
9,5,"Group:[types=['Image', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Separator', 'Title']]"
9,9,"Group:[types=['HStack', 'SVG', 'VStack'], roles=['Background', 'Description', 'Highlight']]"
9,2,"Group:[types=['HStack', 'SVG', 'Text', 'VStack'], roles=['Description', 'Separator']]"
9,4,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Highlight', 'Marker']]"
9,3,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Highlight', 'Separator', 'Title']]"
9,5,"Group:[types=['Group', 'Text', 'VStack'], roles=['Description', 'Separator']]"
9,4,"Group:[types=['Group', 'HStack', 'SVG'], roles=['Decoration', 'Description', 'Separator', 'Title']]"
9,4,"Group:[types=['Group', 'HStack', 'Table'], roles=['Description', 'Title']]"
9,5,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Background', 'Description', 'Highlight', 'Separator']]"
9,4,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Description', 'Marker', 'Separator']]"
9,4,"Group:[types=['Chart', 'SVG', 'VStack'], roles=['Background', 'Description', 'Highlight']]"
9,6,"Group:[types=['Group', 'SVG'], roles=['Decoration', 'Description', 'Separator', 'Title']]"
9,5,"Group:[types=['HStack', 'SVG', 'Text'], roles=['Decoration', 'Highlight', 'Title']]"
9,5,"Group:[types=['HStack', 'SVG', 'Text'], roles=['Description', 'Separator', 'Subtitle', 'Title']]"
9,3,"Group:[types=['HStack', 'Text'], roles=['Description', 'Subtitle']]"
9,6,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Description', 'Separator']]"
9,5,"Group:[types=['HStack', 'Text'], roles=['Decoration', 'Subtitle']]"
9,5,"Group:[types=['Group', 'SVG', 'Text', 'VStack'], roles=['Background', 'Description', 'Highlight']]"
9,3,"Group:[types=['Chart', 'SVG', 'Text'], roles=['Description', 'Separator', 'Title']]"
9,8,"Group:[types=['Group', 'Image'], roles=['Background', 'Description', 'Title']]"
9,5,"Group:[types=['Image', 'Text'], roles=['Background', 'Subtitle', 'Title']]"
9,7,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Highlight', 'Marker', 'Title']]"
9,6,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Description', 'Marker', 'Separator', 'Title']]"
9,1,"Group:[types=['Group', 'HStack', 'SVG', 'VStack'], roles=['Decoration', 'Description']]"
9,2,"Group:[types=['VStack'], roles=[]]"
9,2,"Group:[types=['SVG', 'Text'], roles=['Highlight', 'Marker']]"
9,7,"Group:[types=['Text', 'VStack'], roles=['Description', 'Marker', 'Separator']]"
9,6,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Separator', 'Subtitle', 'Title']]"
9,2,"Group:[types=['Group', 'HStack', 'SVG', 'Text'], roles=['Decoration', 'Description', 'Marker', 'Title']]"
9,2,"Group:[types=['Group', 'HStack'], roles=['Description', 'Marker']]"
9,4,"Group:[types=['HStack', 'SVG'], roles=['Decoration', 'Description', 'Title']]"
9,3,"Group:[types=['Chart', 'Group', 'HStack', 'VStack'], roles=['Description', 'Title']]"
9,6,"Group:[types=['Qrcode', 'SVG'], roles=['Decoration', 'Highlight']]"
9,6,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Decoration']]"
9,5,"Group:[types=['HStack', 'SVG'], roles=['Background', 'Description', 'Highlight']]"
9,6,"Group:[types=['Image', 'SVG'], roles=['Decoration', 'Highlight']]"
9,5,"Group:[types=['HStack', 'Image', 'SVG'], roles=['Background', 'Decoration', 'Highlight']]"
9,5,"Group:[types=['SVG', 'Table'], roles=['Decoration', 'Description', 'Separator']]"
9,6,"Group:[types=['SVG', 'Text'], roles=['Background', 'Subtitle']]"
9,6,"Group:[types=['VStack'], roles=['Decoration', 'Title']]"
9,2,"Group:[types=['Group', 'Image'], roles=['Decoration', 'Description', 'Marker']]"
9,4,"Group:[types=['Chart', 'SVG'], roles=['Background', 'Description', 'Separator']]"
9,2,"Group:[types=['Chart', 'Text'], roles=['Background', 'Description']]"
9,3,"Group:[types=['HStack', 'Text'], roles=['Decoration', 'Highlight', 'Title']]"
9,5,"Group:[types=['Text', 'Video'], roles=['Decoration', 'Description']]"
9,5,"Group:[types=['Chart', 'SVG', 'VStack'], roles=['Background', 'Decoration', 'Description']]"
9,2,"Group:[types=['Group', 'VStack'], roles=['Background', 'Highlight', 'Title']]"
9,3,"Group:[types=['SVG'], roles=['Description', 'Separator']]"
9,2,"Group:[types=['Group', 'HStack', 'SVG', 'Text', 'VStack'], roles=['Background', 'Description', 'Separator', 'Title']]"
9,1,"Group:[types=['Chart', 'SVG', 'Text', 'VStack'], roles=['Background', 'Description', 'Highlight']]"
8,1,"ZStack:[types=['SVG', 'VStack'], roles=[]]"
8,3,"ZStack:[types=['SVG'], roles=['Decoration', 'Marker']]"
8,7,"Group:[types=['Group', 'HStack', 'Text'], roles=['Decoration', 'Title']]"
8,3,"ZStack:[types=['SVG'], roles=['Background', 'Decoration']]"
8,2,"ZStack:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Highlight']]"
8,1,"ZStack:[types=['VStack', 'ZStack'], roles=['Description', 'Marker', 'Title']]"
8,2,"ZStack:[types=['Image', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Highlight']]"
8,1,"Group:[types=['Text', 'ZStack'], roles=['Background', 'Description']]"
8,2,"Group:[types=['Text', 'ZStack'], roles=['Decoration', 'Description']]"
8,1,"ZStack:[types=['Chart', 'SVG', 'Text'], roles=['Decoration', 'Description', 'Highlight']]"
8,1,"ZStack:[types=['Text'], roles=['Title']]"
8,1,"Group:[types=['Group', 'Text', 'ZStack'], roles=['Background', 'Description', 'Title']]"
8,1,"Group:[types=['SVG', 'Text', 'ZStack'], roles=['Marker', 'Separator', 'Title']]"
8,1,"ZStack:[types=['Chart', 'ZStack'], roles=['Description', 'Marker']]"
8,1,"Group:[types=['Chart', 'Text'], roles=['Decoration', 'Marker']]"
8,5,"Group:[types=['HStack', 'SVG', 'Text'], roles=['Background', 'Subtitle', 'Title']]"
8,3,"Group:[types=['Chart', 'Group'], roles=['Background', 'Description', 'Highlight']]"
8,5,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Background', 'Decoration', 'Description', 'Marker', 'Separator']]"
8,8,"Group:[types=['Group'], roles=['Background', 'Highlight', 'Title']]"
8,3,"Group:[types=['Group', 'SVG'], roles=['Highlight']]"
8,3,"Group:[types=['Image', 'Text'], roles=['Decoration', 'Description', 'Highlight', 'Title']]"
8,6,"Group:[types=['Group', 'HStack'], roles=['Background', 'Description', 'Separator']]"
8,7,"Group:[types=['Group', 'HStack', 'Text'], roles=['Background', 'Description']]"
8,2,"Group:[types=['Chart', 'Group', 'SVG'], roles=['Decoration', 'Highlight']]"
8,5,"Group:[types=['SVG', 'Table'], roles=['Background', 'Decoration']]"
8,6,"Group:[types=['Group'], roles=['Background', 'Description', 'Separator']]"
8,4,"Group:[types=['Chart', 'HStack'], roles=['Description', 'Highlight']]"
8,6,"Group:[types=['HStack', 'SVG', 'Text'], roles=['Separator', 'Subtitle', 'Title']]"
8,4,"Group:[types=['Image', 'SVG', 'Text'], roles=['Decoration', 'Separator', 'Title']]"
8,5,"Group:[types=['Image', 'SVG'], roles=['Description']]"
8,6,"Group:[types=['Text'], roles=['Decoration', 'Description', 'Title']]"
8,5,"Group:[types=['HStack', 'Text'], roles=['Decoration', 'Subtitle', 'Title']]"
8,5,"Group:[types=['Chart', 'Group', 'SVG', 'Text'], roles=['Background', 'Description', 'Marker', 'Title']]"
8,1,"Group:[types=['Chart', 'Group', 'HStack', 'SVG'], roles=['Background', 'Description', 'Title']]"
8,6,"Group:[types=['Group', 'HStack', 'Text'], roles=['Description']]"
8,3,"Group:[types=['Group', 'Text'], roles=['Background', 'Subtitle', 'Title']]"
8,6,"Group:[types=['SVG', 'Table'], roles=['Background']]"
8,8,"Group:[types=['HStack', 'SVG', 'Text'], roles=['Decoration', 'Subtitle', 'Title']]"
8,3,"Group:[types=['Chart', 'Group'], roles=['Description', 'Highlight', 'Title']]"
8,4,"Group:[types=['Chart', 'Group', 'Text'], roles=['Decoration', 'Description', 'Title']]"
8,4,"Group:[types=['Chart', 'SVG'], roles=['Decoration', 'Description', 'Separator']]"
8,1,"Group:[types=['HStack', 'Text'], roles=['Description', 'Marker', 'Subtitle', 'Title']]"
8,3,"Group:[types=['SVG', 'Text', 'VStack'], roles=['Background', 'Decoration', 'Title']]"
8,4,"Group:[types=['Table', 'VStack'], roles=['Description', 'Title']]"
8,5,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Highlight', 'Separator', 'Title']]"
8,2,"Group:[types=['Group', 'HStack'], roles=['Decoration', 'Marker']]"
8,5,"Group:[types=['SVG', 'VStack'], roles=['Background', 'Highlight']]"
8,4,"Group:[types=['Chart', 'Group', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Title']]"
8,6,"Group:[types=['Text', 'VStack'], roles=['Description', 'Subtitle']]"
8,6,"Group:[types=['Group', 'SVG', 'Text', 'VStack'], roles=['Background', 'Decoration', 'Description', 'Highlight', 'Title']]"
8,6,"Group:[types=['HStack', 'SVG'], roles=['Description', 'Separator', 'Title']]"
8,5,"Group:[types=['Image', 'Text'], roles=['Highlight']]"
8,4,"Group:[types=['Text'], roles=['Description', 'Highlight', 'Marker']]"
8,5,"Group:[types=['HStack', 'Image'], roles=['Description', 'Separator']]"
8,5,"Group:[types=['HStack', 'SVG', 'VStack'], roles=['Background', 'Description', 'Separator']]"
8,3,"Group:[types=['Group', 'Image'], roles=['Description', 'Highlight']]"
8,4,"Group:[types=['Chart', 'SVG', 'Text'], roles=['Decoration', 'Description', 'Highlight', 'Separator']]"
8,5,"Group:[types=['Chart', 'Group'], roles=['Highlight']]"
8,5,"Group:[types=['Group', 'HStack', 'SVG', 'VStack'], roles=['Background', 'Decoration', 'Description', 'Highlight']]"
8,3,"Group:[types=['SVG', 'VStack'], roles=['Description']]"
8,5,"Group:[types=['Group', 'Text', 'VStack'], roles=['Decoration', 'Highlight', 'Title']]"
8,3,"Group:[types=['Image', 'VStack'], roles=['Description', 'Marker']]"
8,2,"Group:[types=['Group', 'SVG', 'Text', 'VStack'], roles=['Background', 'Decoration', 'Description', 'Marker', 'Title']]"
8,5,"Group:[types=['Image', 'VStack'], roles=['Description', 'Separator']]"
8,6,"Group:[types=['Image', 'VStack'], roles=['Decoration', 'Highlight']]"
8,4,"Group:[types=['SVG', 'Text', 'VStack'], roles=['Background', 'Decoration', 'Description', 'Separator', 'Title']]"
8,4,"Group:[types=['SVG', 'VStack'], roles=['Description', 'Highlight']]"
8,2,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Background', 'Description', 'Highlight', 'Marker']]"
8,6,"Group:[types=['Text'], roles=['Background']]"
8,2,"Group:[types=['HStack', 'SVG', 'Text'], roles=['Highlight', 'Separator', 'Title']]"
8,4,"Group:[types=['LayeredDiagram', 'Text'], roles=['Description']]"
8,1,"Group:[types=['Group', 'HStack', 'Text'], roles=['Decoration', 'Description', 'Marker']]"
8,2,"Group:[types=['Group', 'Image', 'Text'], roles=['Background', 'Decoration', 'Highlight']]"
8,6,"Group:[types=['Group', 'SVG'], roles=['Decoration', 'Description', 'Highlight', 'Title']]"
8,2,"Group:[types=['Chart', 'SVG', 'Text'], roles=['Description', 'Highlight', 'Separator', 'Title']]"
8,3,"Group:[types=['Group', 'Image', 'SVG'], roles=['Decoration', 'Description', 'Highlight']]"
8,1,"Group:[types=['HStack', 'Text'], roles=['Description', 'Marker', 'Title']]"
8,2,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Marker', 'Subtitle', 'Title']]"
8,1,"Group:[types=['SVG', 'Text', 'VStack'], roles=['Background', 'Decoration', 'Description', 'Separator']]"
