design_object_count,layout_count,composition
397,192,"Group:[types=['Group', 'Text'], roles=['Description', 'Highlight']]"
395,202,"Group:[types=['Image', 'SVG', 'VStack'], roles=['Background', 'Decoration', 'Description']]"
388,279,"Group:[types=['SVG', 'VStack'], roles=['Decoration', 'Title']]"
388,212,"Group:[types=['Group', 'SVG'], roles=['Background', 'Description', 'Title']]"
386,215,"Group:[types=['Group'], roles=['Highlight']]"
379,106,"Group:[types=['Group', 'Text'], roles=['Description', 'Marker']]"
365,248,"Group:[types=['Group', 'SVG'], roles=['Background', 'Decoration']]"
364,196,"Group:[types=['Group', 'Image'], roles=['Decoration', 'Description']]"
362,229,"Group:[types=['Group', 'Text'], roles=['Highlight', 'Title']]"
360,144,"Group:[types=['SVG', 'Text'], roles=['Separator', 'Title']]"
357,175,"Group:[types=['SVG', 'Text'], roles=['Background', 'Description']]"
355,179,"Group:[types=['HStack', 'Text'], roles=['Description', 'Title']]"
350,153,"Group:[types=['Group', 'Text'], roles=['Description']]"
340,248,"Group:[types=['Group', 'Text'], roles=['Subtitle', 'Title']]"
339,146,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Description', 'Marker']]"
335,166,"Group:[types=['Group', 'Text'], roles=['Description', 'Highlight', 'Title']]"
331,145,"Group:[types=['Text'], roles=['Description', 'Highlight', 'Title']]"
331,190,"Group:[types=['Group', 'SVG'], roles=['Background', 'Description']]"
325,218,"Group:[types=['Text'], roles=['Decoration', 'Title']]"
322,110,"Group:[types=['Chart', 'Text'], roles=['Description']]"
320,111,"Group:[types=['Chart', 'Text'], roles=['Description', 'Highlight']]"
319,183,"Group:[types=['Image', 'Text'], roles=['Decoration', 'Title']]"
319,151,"Group:[types=['Chart', 'SVG'], roles=['Decoration', 'Description']]"
319,233,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Subtitle']]"
314,107,"Group:[types=['SVG', 'Text'], roles=['Description', 'Marker']]"
312,58,"ZStack:[types=['SVG'], roles=['Decoration']]"
